const,Truck_percentage,AADT,Urban,Atlanta+Macon,Savannah,Interstate,3+ln
4.811,0.5035,-0.4009,-0.2046,-0.2243,0.1175,0.6848,-0.7706
14.205,3.6757,-1.3492,,-0.1698,-0.2651,1.1833,
